#fields	index	rw_pattern
0	*.regq
1	*.cryptonation92@outlook.com
2	*.hoop
3	*.HORSEMONEY
4	*.reqg
5	*.repg
6	*.FancyLeaks
7	*.JRB
8	*.82uqjb1k5*
9	*.GanP
10	*.divinity
11	*.salma
12	*.REV
13	*.w2tnk
14	*.nooa
15	*.muuq
16	*.51yupKSuX
17	*.hela
18	*.guer
19	*.dance
20	*.Imshifau
21	*.aeur
22	*.hhqa
23	*.grej
24	*.myday
25	*.gudj
26	*.moqs
27	*.PcS
28	*.ufwj
29	*.teddy
30	*.LOWPRICE
31	.pause
32	*.gujd
33	*.nwji
34	*.pause
35	*.WWKA
36	*.nohope
37	*.Poteston
38	*.GoodMorning
39	*.PB
40	*.hive
41	*.givemenitro
42	*.rxqcpjoai
43	*.partydog
44	*.leex
45	*.miis
46	*.PIIQ*
47	*.lssr
48	*.xcss
49	*.avos
50	*.pooe
51	*.cryptoncrypt
52	*.zqqw
53	*.zzla
54	*.neer
55	*.mppq
56	*.piiq
57	*.Spyro
58	*.SplinterJoke
59	*.TaRRaK
60	*.XMEYU
61	*.ZIG
62	*.pr09
63	*.pahd
64	*.2x2d
65	*.SLAM
66	*.qscx
67	*.tohnichi
68	*.MANSORY
69	*.redeem
70	*.r44s
71	*.\[Delta\]*
72	*.Poliex
73	*.hen_ry_217
74	*.0xxx
75	*.nmc
76	*.ZEUS
77	*.snoopdog
78	*.ddsg
79	*.apis
80	*.iqll
81	*.Sspq
82	*.reddot
83	*.nermer
84	*.ramsome.encrypt(rsw).nat
85	*.v-society
86	*.PAYLOADBIN
87	*.PARTY
88	*.Xino
89	*.DELTA
90	*.MMTA
91	*.paas
92	*.Yqbdpevbz
93	*.Sal13
94	*.epsilonred
95	*.Lohodf
96	*.Datalock
97	*.Dhlp
98	*.poker
99	*.Globeimposter*
100	*.Oplatabtc3
101	*.mo2
102	*.Zwbowhtlni
103	*.505
104	*.ehiz
105	*.CGAIE
106	*.root
107	*.eye
108	*.nusm
109	*@disroot.org*
110	*.ever101
111	*.Lorenz.sz40
112	*.Lawvuhqjr
113	*.sick
114	*.FEEDC
115	*.ducky
116	*.igvm
117	*.dewar
118	*.LGNLCKD
119	*.pcqq
120	*.Czlock
121	*.lldc
122	*.HJAWF
123	*.bumcoder
124	*.GoNNaCry
125	*.henry217
126	*.saverswasted
127	*.n3tw0rm
128	*.BtCry_zip
129	*.HPJ
130	*.rejg
131	*.2122
132	*.XHAMSTER
133	*.rbhd
134	*.rootiunik.*-*-*
135	*.cum
136	*.wintenzz
137	*.encrpt3d
138	*.bdev
139	*.GFYPK
140	*.ALNBR
141	*.Hknet
142	*.lookfornewitguy
143	*.pandora
144	*.BENTLEY
145	*.combo13
146	*.swagkarna
147	*.graysuit
148	*.Ctpl
149	*.4o4
150	*.Greed
151	*.Elbie
152	*.wrui
153	*.ZoLiSoNaL
154	*.MailRU
155	*.lmas
156	*.charlie.j0hnson
157	*.gehenna
158	*.beaf
159	*.glock
160	*.HANTA
161	*.03rK
